id,bororo
88,Ure ciemagu cuku cuku cuku...
89,"Ure ipare eno ba tugu taci, meri rutu tabo (6 horas)."
90,"Icare nowu etuiorubodarege, enodowuge ere tugeragu nowu etuiorubodaregei, ere tugera kogudo ekera kajeje, ere tumugudo ewugeje toro tuwai kae, ere kodo baado etogi ere emugudo nono  kado baa keje.
Nowure icare  boere tudugu co toro Roia Giguduto (Ipare etuiorubodarege ekeroia)."
91,Oie Bakororo akowo ipare ewure rerudo awororo jatorito.
92,Ipare ewure porododu epa (2) porocoiwo (2)
93,"-Dukejere icare ipare eture tuwai remawu kae, tuo, tuje, etae."
94,"Icare etujemage eregodure etogi, ere tugeragu ei, ere todomo ekajeje. Icare Etoragudure ebo.
Etoragudu akedure, ere epa pemegado, ere ewu (lhes preparam a cama e os deitam)."
95,Akore: - U! Boe jokodu. Kode! Awadodudo!
96,Akore: - Pamode ewu puwugeje rugadu. Pamode edo pobe rugadu: nowu corewu padumode nowu kujagurewu bukeje. Egore: U!
97,"Icare Kaigu uwadodure, akore: - Kodire inagoino, iorubodare Butoregadu akae!Akado aerubo bogai."
98,"Ca! Akore – Kodire inagoino, inodowu Aroia Kurirewu akae! Amugudo ca toro aiadumage eparuji."
99,"Icare barogwa kododure. Icare Kaigu, Aromerere, Ki Bakororo, eture toro tuwobe emuga kae, egore: - Nogware kugure, cegodo toro. Boe baado! Pawo pagagu aroe etawuje."
100,"Egore: - Kaboba pagagu aroeba?
Egore: - Bokodori."
101,"Icare ere udo turugadu. Nowu irogodure turugadu, nowu nonogorogu ure turugadu."
102,Icare ere nowu  irogodu bu Bokodori Corewu (Tadugo) keje. Ere atugodo tabo. Ere bu oino jii... (listras pretas em todo o corpo).
103,"Ere iera ra paru codo, ere bure ra paru codo, ere okwa codo, ere uporaido. Ere atugodo jii joki woe awu pea kae (até a cintura), ere kana atugodo."
104,"Ere toro kogudo ekajeje, ere kiogaoaro kogudo ekana kajeje, ekera kajeje, ere bu etaobaru keje, ere pariko kogudo etao kajeje, ere akigu bu ewugeje. Ere kuruguga kogudo etao kajeje, ere pariko tugu nowu kuruguga kajeje)."
105,"Icare ere eiado, ere etagedudo, icare ere tugera kogudo  etoro kajeje, icare eture ebo bororo kae."
106,"Icare egogodure tuduwo bororji, egore: m m m m m..."
107,Cuku cuku cuku... cai tudui boroji kodi.
108,"Icare egogodurepugeje, tuduwo pugeje: m m m m m... cuku cuku cuku cuku..."
109,"Ekodure jii... cewu ture tuwuredowo kae, egore:  m m m m m... tui tuwuredo dukeje."
110,Dukeje icare eture. Ekodure nowu aroe ao kae.
111,"Nowu Bokodori Corewu ure tugera tugu mototo oino, oino, co co co (imitando o tatu que cava a terra)."
112,"Nowu Kujagurewu ure tugera tugu mototo oino, oino co co co, nowu tumeduia ro reore."
113,"Ere turagojedo taci, ere ciemagu cuku cuku cuku, nowu aroe bure kae pugeje. Ere tubujodo kuri tuku. Icare Bokodori Corewu ure tugera tugu mototo co co co..."
114,Bokodori Kujagurewu ure tugera tugu mototo oino woe (cavando a terra com as duas mãos juntas e puxando-a para o lado de fora dos dois).
115,Icare eture rugadu: cuku cuku... toro nowu ture ciemagu boetojiwo kae.
116,Nonore icare ere twuredo ca!. Egore: M!.... tui tuwuredo dukeje.
117,"Ca! Icare Kaigu, Ki bakororo, ere etôro kiwuje epiji, ere kuruguga ta etao piji, ere pariko kiwuje etao piji, icare ere jeto tu  aroe ao keje."
118,"Icare Kaigu, Ki Bakororo emagogodure tuwiemagei, egore: - Tarego bapo kae. Bapo maku Tugarege eiamedu ai, eragoduwo tuiadumage eparuji."
119,"Icare nowu Aroe Maiwu uo aregodure, kodo kuri mato, ure tumugudo tu nono ewure paru."
120,"Icare imadure tabo. Icare uture tabo toro bato tuieda kae, toro tuwai kae. Ure jeto tuieda keje tu.."
121,"Kaigu ure tugeragu Oca Kudurewuji, ure mugodu tu tuwai tada (na casa de Kaigu). Iturawore Imedu."
122,"Rekodure pugeje Akaruio Bokodori aredu ae pugeje, ure reko mato tuwai kae."
123,"Icare ure ekujagudo. Ure ekera ra paru codo, ure ewure ra paru codo, ure eporai towuje, ure enogwa codo. Dukejere ure tôro kogudo ekajeje. Dukejere ure kiogoaro kogudo ekana kajeje, ekera ra paru kajeje, etaobaru keje. Dukejere icare ure akigu bu  ewugeje . Ure batagaje cibaiuwodo bu ewugeje, ure juko bu bu ewugeje."
124,"Icare ure kuruguga kogudo etaora kajeje, ure pariko kogudo kajeje. Ure tôro kogudo ekajeje. Ure ciwaboe etoiaga bu ee keje."
125,"Icare ure tugeragu etoroji, icare eture ebo bororo kae. Etaregodure ebo bororo kae, ere ewuredo bororo keje."
126,"Icare egogodure tuduwo bororoji, egore: - m m m m m..., cuku cuku cuku... tudui bororoji."
