id	source	portuguese	reviewed	portuguese_reviewed	segmentation	gloss	editorial_note
BOR-CORBO-OIE-ANTONIO-CAIO-G96-050	Etoiaga atugodoka akije toro (2) Etoiaga atugodoka akare Buturoagiri Bakororo ekenoia kajejewu padarogwareu jorigiare etoiaga atugodoka ikuie poboia ekumodu bopaguduia Panabugu Bakororo akije toro, koia cimo kuje eiegiri rerudodu parugajeje. Etoiaga atugodoka akije toro.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-051	Jorudu kiogo umuguiagu(2) Aredo Tugoagiri Bakorororodo jorudu kiogo muguiagu tagiridodu tabo Aroe Bakororo pudabowu uparigogo urugudodu parugajeje. Jorudu kiogo muguiagu.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-052	Akiri waratuie tagire nono(2) Akiri waratuie tagiarega tare areaku Kuwororo Eimejera enawuia kuogoreu akaru rekoducedo akiri waratuie tamuguia Tariabo uia jetugae. Akiri waratuie tagire nono.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-053	Akiri redudu muguiagu (2) Aredo Mano Bakorororodo akiri redudu muguiagu, tuirudu iogoduia tarowewuio Arowe Aijoio pudabowu aregoduia awugeje. Akiri redudu muguiagu						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-054	Uwogodori jeragudu butuie mato(2) Bopaguduia Kogebowu Bakororo uwogodori jeragudu butuie mato tuigoia cimo kuje eiegiri redudodu tabo arowe tuwororo parugajeje. Uwogodori jeragudu butuie mato						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-055	Ema tamarido bureroka pureuwore (2) Akaruio bopaguduia BapeioUtugoio Eimewjera ema tamarido bureroka pureuwore tagiga oiagadodu padure taiogwaio owotogajeje. Ema tamarido bureroka pureuwore.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-056	Etaro ikudodu paduregaje(2) Bopaguduia Jakaduio Eimejera ecebacewu etaro ikudodu paduregaje aroe turododuia Kugarubo uia jetugae. Etaro ikudodu paduregaje.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-057	Akowainotu muguiagu(2) Aredo Jakomea Uruguio Bakorororodo akowainotu muguiagu tuiorudu iogoduia tuwiria Ekuio oia bukejewu tuguie Bokodore ekenawu urugu aregodureu aruduia awugeje. Akowainotu muguiagu.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-058	Uparigogo okwagujo muguiagu (2) Akare ikimamomo Utugoio Eimejera uparigogo okwagujo muguiagu rekoduia tuwororo okwabijire. Uparigogo okwagujo muguiagu. AO						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-059	Upodoje tuguje toro(2) Bokuoduia arireu oiaga urugu paduiagu atugoia bopaguduia Itoga Aiare Bakororo apodoje okwa bukorire. Upodoje tuguje toro.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-060	Atugododu jaeiarega(2) Aredo Kuogori Bakorororodo eigerere tumorijewu tarowewuio Koge Eimejera bopaguduia Aiadugodoge Eimejera atugododu bureradore bukuoduia tugudawu baia bukorire. Atugododu jaeiarega.						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-061	Tagi kamace akaru tuguje toro (2) Aroduio rukomagaio tawidoduia tabaguduia bopaguduia Butore Bakororo ewaiga aio kuogoreu akaru rekoducedo akuie eruduia Arigao Bororo aio jetugae. Tagi kamace akaru tuguje toro. ______________________________________________________________ (Oieigo de Iwagududogedu Cebegiwu (coreu), filho de Baadojeba Bakoro Kudu) IWAGUDUDOGE COREUGE ENO OIEIGO (ANTÔNIO CAIO UPARUIA): COMPOSTO Janeiro-março de 1996 por Antônio Kanajó, Filipe e demais Anciãos do Garças)						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-062	Oieigo jetuiaga(2) Bokodoriware iga Oieigo wararere taagaruia padarogwareu aiadugodoge eiga jaruru rerudodu aturuwareu ako umuguio cegimejera bopaguduia MARIDO BAKORORO tuiagajejewu onawuio okwabijire. Oieigo jetuiaga!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-063	Na kana kaina mato(2) Akiarega akagaru otogewu BAIARI BAKORORO cewogodori kuogoreu jeredudu aduiagu ekumodureu JAKOMEA BAKORORO AKONAIA OTOGIRE. Na podoje tuguje toro!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-064	Ekorira ako butuie mato cemorijewu uruberireu bopaguduia KUIADE EIMEJERA tuwoie ecewu iturabo tadawuge edugo aregodudo tarege KOGEÔIO BAKORORO ceigoia turugudodu okwabijire. Ekorira ako butuie mato!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-065	Ema taiagoia uiroga pureuwore(2) Mariguruboreu bopaguduia utugoio eimejera aiagoia uiroga ecewu BUTORUBO BORORO bukejewuge eimejera atogewu BOKUOJEBA BAKORORO jakoia ureuwore. Ema taiagoia uiroga pureuwore!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-066	Awuiarega turugodu rekoducedo(2) Iwoia padugaiewu uruberireu bopaguduia KIDOREU EIMEJERA tuwoie turugodu rekoducedo tooge ewidoduia tudugo paia meri rutu uia jetugae. Awuiarega turugodu rekoducedo!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-067	Ema tabariwa aiopado uiroga preuwore meririareu bopaguduia IWAGUDU BAKORORO apariwa aio pado uiroga ecewu Ecera Bororo bukejewuge eimejera atogewu KOGE BAKORORO upariwa aio pado ureuwore. Ema tabariwa aiopado uiroga pureuwore!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-068	Rukomagadoge tagire nono(2) Rukomagadoge tagiarega tare areaku AROE BAKORORO ekiga padarogwareu akaru rekoducedo rukomagadoge tamuguia Barubaru uia jetugae. Rukomagadoge tagire nono!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-069	Meriri urugudu akije toro(2) Meriri urugudo utaboiareu bopaguduia OKOGE ARARUIO akije toro akuwoduia akudawu baia bukorire. Meriri urugudo akije toro!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-070	Burekia birigodu rekoduiagu(2) Akare ikimamomo KUWARARE EIMEJERA burekia birigodu rekoduiagu turegoduia tuwororo okwabijire. Burekia birigodu rekoduiagu!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-071	Are inagu erewakawuio (2) Mariguruboreu bopaguduia AIADUGODDOGE EIMEJERA emareroka uworoio padarogwareu jerigiare etoiaga iabadodu umugure tuwororo paru buko. Utugarece tuiorud! aio butudo pu!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-072	Akare irokace(2) Jewaduiewo iturabo meririadowu akare ikimamomo AROWE BOKODORE ekera ekumodudoka Jurereu Bakororo akije jurereu etadugododu tabo kaiworo paru bukorire. Kaiworo arece tugomaka taboi!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-073	Awuiarega aiabado okwawugeje(2) Aturuareu bopaguduia WARINOGO BAKORORO tuwoie tuworoio padarogwareu jorigiare etoiaga atugo iabado toiaga tunanae eigoia reruio jemagudu parugajeje. Awuiarega iabado okwawugeje!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-074	Kuogodoka akije toro(2) Kuogodoka areaku KOGE URUKUIO akije toro maidoduia aiewere okwawugeje. Kuogodoka akije toro!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-075	Egowainotu paduregaje (2) Aredo JAKOMEA BAKORORODO egowainotu padure gaje tuiorudu iogoduia tagiri to roreu oia bukejewu tuguie jurereu etadugo aregodureu aruduia awugeje. Egowainotu paduregaje!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-076	Jorudu ekumodureu akire nono (2) Jorudu ekumodureu bopaguduia MERIGUIO BAKORORO akire nono akiarega akagaru metuiagu atugarege eigoia reruio jemagudu parugajeje. Jorudu ekumodureu akire nono!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-077	Aio padodu kaina mato(2) Aredo KUJIBO EIMEJERARODO eigerer tuguruguga ecerato padudore tarowewuio Aiadugodoge Eimejera aio batodu okwawugee. Aio padodu kaina mato!						
BOR-CORBO-OIE-ANTONIO-CAIO-G96-078	Inowu arowe tawuduia Itobore pijina mato(2) Inowu arowe tawuduia Itobore jaiowejewu ttaguie ukigaio meririkudu paduiagu taregoduia tawroro okwawugeje. Inowu arowe tawuduia Itobore pijina mato! ..................................................... ................................................... ..................................................... Enogwa iemaro paduregaje (2) Aredo Arua Bakorororodo enogwa iemaro paduregaje tuiorudu iogoduia tarowewuio Okoge Urukuio pudabowu bopaguduia Jakomea Akiri Bakororo aregoduia awugeje. Enogwa iemaro paduregaje Ukuwodu jiroka nono(2) Areaku Ewiriga Bakororo ukuwodu bureroka okwa akiridodu padure padarobo owotogajeje. Ukuwodu jiroka nono. Kudu iemaro paduregaje (2) Akare ikimamomo Tubore Eimejera kudu iemaro paduregaje. Arowe turododuia tuiogwaio owotogajeje. Kudu iemaro paduregaje. cibae etaro urugudu akije toro (2) cibae etaro urugudo bopaguduia Aroiare Bakororo akije toro bukuoduia akudawu baia bukorire. cibae etaro urugudo akije toro. Uwudore kiagodu butuie mato (2) Akare ikimamomo Kurugugue Eimejera uwudore kiagodu butuie mato. Arowe turododuia tunowagoro jeragududodu okwabijire. Uwudore kiagodu butuie mato. Burekia birigodu rekoduiagu (2) Akare ikimamomo Parabara Eimejera burekia birigodu rekoduiagu arowe turegoduia tuwororo okwabijire. Burekia birigodu rekoduiagu. Tarududoce roije toro (2) Aredo Baeiari Bakorororodo tarududoce tagarowewuio Buturoe Eimejera pudabowu bopaguduia Bapeio Utugoio Eimejera roije toro rerugoduia tuwororo okwabijire. Tarududoce roije toro. Burekia birigodu rekoduiagu(2) Akare ikimamomo Bokodori coio burekia birigodu rekoduiagu arowe turegoduia tuwororo okwabijire. Bure kia birigodu rekoduiagu. Ena uparigogo urugu jetu awadudo aregodu ona togire (2) Aredo cibae Eimejerarodo ena tarowewuio Koge Eimejera pudabowu bopaguduia Jakomea Awuru Bakororo uparigogo urugu jeto awadudo aregodu ona togire rekoduia tuwororo okwabijire. Ena uparigogo urugu jeto awadudo aregodu ona togire. Burekia birigodu rekoduiagu(2) Akare ikimamomo Bokodore Eimejera burekia birigodu rekoduiagu aroe turegoduia tuwororo okwabijire. Burekia birigogodu rekoduiagu. Etoiaga iemaro paduregaje (2) Uiedaga Meriri Bakororo ecebacewu etoiaga iemaro paduregaje, aroe turedoduia taboguru uia jetugae. Etoiaga iemaro paduregaje. Etoiaga atugodoka akije toro (2) Etoiaga atugodoka akare Arua Bakororo ekenoia kajejewu padarogwareu jorigiare etoiaga atugodoka ikuie poboia ekumodu bopaguduia Aiepa Bakororo akije toro, koia cimo kuje eiegiri rerudodu parugajeje. Etoiaga atugodoka akije toro. Jorudu kiogo muguiagu(2) Aredo Jakomea Awuru Bakorororodo jorudu kiogo muguiagu tagiridodu tabo Aroe Bakororo pudabowu uparigogo urugudodu parugajeje. Jorudu kiogo muguiagu. Akiri waratuie tagire nono(2) Akiri waratuie tagiarega tare areaku Kaiaceba Bakororo enawuio kuogoreu akaru rekoducedo akiri waratuie tamuguia Taroiabo uia jetugae. Akiri waratuie tagire nono. Akiri redudu muguiagu (2) Aredo Mano Bakorororodo akiri redudu muguiagu, tuirudu iogoduia tarowewuio Arowe Aijoio pudabowu aregoduia awugeje. Akiri redudu muguiagu. Uwogodori jeragudu butuie mato(2) Bopaguduia Kogebowu Bakororo uwogodori jeragudu butuie mato tuigoia cimo kuje eiegiri redudodu tabo arowe tuwororo parugajeje. Uwogodori jeragudu butuie mato. Ema tamarido bureroka pureuwore (2) Akaruio bopaguduia Aiparabara Bakororo ema tamarido bureroka pureuwore tagiga oiagadodu padure taiogwaio owotogajeje. Ema tamarido bureroka pureuwore. Etaro ikudodu paduregaje(2) Bopaguduia Aroeceba Nowaiare Bakororo ecebacewu etaro ikudodu paduregaje aroe turododuia kugarubo uia jetugae. Etaro ikudodu paduregaje. Akowainotu muguiagu(2) Aredo Jakomea Urukuio Bakorororodo akowainotu muguiagu tuiorudu iogoduia tuwiria ekuio oia bukejewu tuguie Bokodore ekera ekumodu aregodureu aruduia awugeje. Akowainotu muguiagu. Uparigogo okwagujo muguiagu (2) Akare ikimamomo Utugoio Eimejera uparigogo okwagujo muguiagu rerugoduia tuwororo okwabijire. Uparigogo okwagujo muguiagu. Upodoje tuguje toro(2) Bokuoduia arireu oiaga urugu paduiagu atugoia bopaguduia Itoga Are Bakororo apodoje okwa bukorire. Upodoje tuguje toro. Atugododu jaeiarega(2) Aredo Boro Bakorororodo eigerere tumorijewu tarowewuio Aiadugodoge Eimejera bopaguduia Adugoedu Bakororo atugododu bureradore bukuoduia tugudawu baia bukorire. Atugododu jaeiarega. Tagi kamace akaru tuguje toro (2) Aroduio rukomagaio tawidoduia tabaguduia bopaguduia Butore Bakororo ewaiga aio kuogoreu akaru rekoducedo akuie eruduia Arigao Bororo aio jetugae. Tagikamace akaru tuguje toro. Perguntar para Tarzan que ele vai falar certinho (Kanajó) ``						
