id	name	description
BOR-CORBO-ETN-0092	Jokukujetai	Boe ere aru mugudo joru tada berego ere epado tuwiri uru, taora kori. Boe ere kowu joruto uredududo uwo boe pegarewu barigu utudo, laboe biareure ema
BOR-CORBO-ETN-0093	Rugo	Nowu aru, nowu ukwa boe ere tore etaimo kuruče tore ekogodu kawo, tore epega kawo dubogaire eroino ji. Boe ere nowu uru mugudo joru tada tuguduwo če tuwiri uru epače, tugojari epače, tuguri kori epače
BOR-CORBO-ETN-0094	Rokoe Ewodoreu	Boe ere araka mugudo joru tada jorubo boe ekojari i epado ema (ikuri epado ema). Boe erubore nowu iwoiče, boe ere tugana kado, boe ere tuwure kado, boere iwoi tawuje kogudo nowu korirewu kajaje, ere nowu araka mugudo joru tada tugojari epado ema
BOR-CORBO-ETN-0095	Kowai	Boe etao epa nure ema boe eiogore ji tabo pemegawo motuwo
BOR-CORBO-ETN-0096	Atumeririreu	Boe ere toroe boe epado ema. Ere tumijorido če tugo epače, boe ere kogudo ika boe ekuika kajaje. Ere kago epado ema karei. Boedogere joru tugu nowu iwoito ureduduwo
BOR-CORBO-ETN-0097	Mičori	Boedoge ere iwoi tawuje tuwo aroe epado nowu kodudu tabo
BOR-CORBO-ETN-0098	Aroé Ekududuréu í	Boedoge enogware nowu kuwo a ji. Boedogere kuwo oro pemegado parikibotoče, kodoraboče ere nowu ai bu tuwai aoji tuwai epače
BOR-CORBO-ETN-0099	Kuwo ai	Boe enogware nowu kuroduji
BOR-CORBO-ETN-0100	Tori kobo	
BOR-CORBO-ETN-0101	Boroboiakareu	Boe enogware nowu kuroduji
BOR-CORBO-ETN-0102	Kirareu / Kiewarareu / kiorareu	Boe enogware nowu kuroduji
BOR-CORBO-ETN-0103	Irui í	Nowu i ere tugera kiogwadoji bai epače, irado ema. Ere nowu iwoi, mea kogudo to tugeje
BOR-CORBO-ETN-0104	Kuro cereu - fruto pequeno preto	Boe enogwagere nowu kuroduji, ere kurudo. Ere nowu aru mugudo joru tada, ere tuiedawu kori epado ema, ere awu areme etoroja epado ema, epemegawo
BOR-CORBO-ETN-0105	Koge Eibararareu (Córrego Grande)	Boe eiogore aroe ei tabo boe ere etugu moto du oto dai
BOR-CORBO-ETN-0106	Bóto Jerigigaréu	Ukwa kowudodure, čododure boe etorei, erijodu rewo pudui, erijodu mariguwo
BOR-CORBO-ETN-0107	Bokwado (itura); Bokado (Piebaga)	Boe ere kurudo tugeje enogwagere ji. Nowu i ure turugado boe ewai, ika, epače. Ere nowu i biri mugudo joru tada boe ečegurugudo epa, boe ekigori epa. Ere nowu a kowu joruto ere nowu tubegaguru epado ema. Ere nowu kodu, nowu i kuru tadu, epado boe emearudu ewaduwo pudui, tugu čowo. Ere nowu biri okodo tapira mokuro kuru kao tuiorubodo ema
BOR-CORBO-ETN-0108	Rumaga (boku)	Boe ere kurudo tugeje enogwagere ji. Nowu i ure turugado boe ewai, ika, epače. Ere nowu i biri mugudo joru tada boe ečegurugudo epa, boe ekigori epa. Ere nowu a kowu joruto ere nowu tubegaguru epado ema. Ere nowu kodu, nowu i kuru tadu, epado boe emearudu ewaduwo pudui, tugu čowo. Ere nowu biri okodo tapira mokuro kuru kao tuiorubodo ema
BOR-CORBO-ETN-0109	Bie	Boedoge ere kurudo enogwagere koduji. Ere nowu kuručodo ewo tadugodo tabo. Ere awu toroe meriri boe ipodo nowu bie ipoče. Ere aroe ekedo ema toro baito. Ere udo turugado bekurudo tuwo tugu taoto, tao kororogoduwo. Ere nowu kurodu, jorubo kurudo ema, čegurugudu epače, tugu čowo
BOR-CORBO-ETN-0110	Jorúbo Ipo / Jorubo í	Boe ere ikado ema
BOR-CORBO-ETN-0111	Okwami	Boe ere ikado ema. Nowu ibiri ere tugu poboto tuwure kori epado ema, togorire puduido, tuguri kori, tuguiboka kori epado ema
BOR-CORBO-ETN-0112	Paie Jokuro	Ere tuguiedo, bourado ema paduwo tuwugeje
BOR-CORBO-ETN-0113	Meri Jorubo Iorubo	Boe eiogore pudui boe ero kurireu keje boe ero biareu keje
BOR-CORBO-ETN-0114	Rimao Reo	Boe ere tugedo ema
BOR-CORBO-ETN-0115	boe bokware	Ere bekurudo tao epače, nowu ukwa ere reko tuwureadoji, tuwureado kawo tuwo
BOR-CORBO-ETN-0116	Manai (Pieaga)	Nowu aru ere mugudo joru tada boe etore jokuruga doge etaragudu kigodu akeduwo
BOR-CORBO-ETN-0117	Jugodoge Etabureu / Jugo Doge Etore Erubo	Ere aru mugudo joru tada ekudure če, nowu aru ere gugudo jamedu tuwo reko tubogora kuroduji, epogora bokodure ere rekoji jamedu
BOR-CORBO-ETN-0118	Rie	Boe ere kurodu kowuje. Ere nowu tudu kagu poboto, tuiorubodo ema, boe ekuri kori pegareu, boe epegaguru, bakuru koreu peagodu. Ere nowu oku mugudu joru tada, du ekudure če, ere areme etoroja epado ema, uwo etoroja pemegado, ekuibokwa kori epado ema jamedu
BOR-CORBO-ETN-0119	Rarukugudugodu	Boere aru berego du boe eiogore aredu kogogodaeji tabo. Boe eiogore aredu ji kuiaruwo
BOR-CORBO-ETN-0120	Kimau	Boere ukwa, aru ureduduwo uwo tuiodo boe pegareu keje, boere nowu i biri ukwa beredo boe ekuri kori, boe ewiri kurodu, boe etaora
BOR-CORBO-ETN-0121	Kiemogurureu	Barae ere nowu ira bu tuwai aoji, boere aru, ukwa, kowuje jui tabo du boe eiogore negedo rogu kodui maidu roguji, boe pegareu jetu kawoji
BOR-CORBO-ETN-0122	Ju umana	Boere boe jodo keje du ekudure kuruče tugojariji, tuwiri uruji
BOR-CORBO-ETN-0123	Uiaru	Kodure boere kowuje, boe eiogore torei aru tabo
BOR-CORBO-ETN-0124	Pobogo Doge Erubo	Boe eiogore pudui, ukwa tabo tuwo pobogo kowuje
BOR-CORBO-ETN-0125	Bato	Boere kurodu kowuje, boere betudo, boere kurudo. Boere i kuru okodo nonogo kao. Boe erigire ema. Boe ekera magadure boe eroji kuru tabo. Kuru pemegare boe ekuri koriji. Kuru pemegare boe epegaguru kuji
BOR-CORBO-ETN-0126	Akoreu	Boe eiogore tugogoriji, tuwiri kuroduji tabo, i kuru pemegare boe ekuiboka koriji jamedu. Boe biri, aru beredo du boere reko kigori pegareuji, awu barae egore diabete epare ema. Boe ekuiboka kori epare ema jamedu. Boe eiogore tugogoriji aru tabo
BOR-CORBO-ETN-0127	Akiwe Etore Ekejo-rubo	Boere aru, ukwa berego du pemegare boe etaora koriji barae egore conceptivo ji jamedu
BOR-CORBO-ETN-0128	Bakugu / Pogobo	Boere ukwa berego boe ekuri kori epače
BOR-CORBO-ETN-0129	Ari í	Boere kurodu kowuje, boere kurudo jamedu
BOR-CORBO-ETN-0130	Boko í	Boere kurodu kowuje, boere kurudo jamedu, boere aru enogu beredo boe epegaguru epače
BOR-CORBO-ETN-0131	Mareguetaureu / Mareguetau (Córrego Grande)	Boere kurodu kowuje boere kurudo jamedu
BOR-CORBO-ETN-0132	Bekururebe / Boe Etore Erubo	Boere ukwa beredo boe epegaguru, boe ekuri kugudu epače jamedu
BOR-CORBO-ETN-0133	Kido	Boere nowu ito kuru epado boe eto kori epače, boe ekojari epače, awu boe ekeno meadu jiwu boe ekogodae
BOR-CORBO-ETN-0134	Kidoguro	Boere reko, boe etore kodure maiwu biriji kiogwagiri otodai (boe ero iedodu). Boe eto kori epare nowu i kuru, boere nowu i uru berego tugojari epače awu boe ekeno meadu jiwu boe ekogodae epare ema jamedu
